[    1.60] Read file '/home/oortwijn/distdd/models/petrinets/ARMCacheCoherence.bdd'
[    1.61] 87 integers per state, 4 bits per integer, 33676 transition groups
[    2.09] Level 1 done
[    2.61] Level 2 done
[    3.79] Level 3 done
[    5.82] Level 4 done
[    9.46] Level 5 done
[   15.93] Level 6 done
[   25.06] Level 7 done
[   37.19] Level 8 done
[   52.61] Level 9 done
[   71.56] Level 10 done
[   93.65] Level 11 done
[  120.03] Level 12 done
[  149.49] Level 13 done
[  183.80] Level 14 done
[  225.48] Level 15 done
[  275.91] Level 16 done
[  336.18] Level 17 done
[  405.92] Level 18 done
[  484.15] Level 19 done
[  569.73] Level 20 done
[  660.62] Level 21 done
[  754.98] Level 22 done
[  850.82] Level 23 done
[  946.79] Level 24 done
[ 1042.77] Level 25 done
[ 1135.69] Level 26 done
[ 1225.36] Level 27 done
[ 1310.02] Level 28 done
[ 1387.36] Level 29 done
[ 1453.91] Level 30 done
[ 1504.52] Level 31 done
[ 1537.49] Level 32 done
[ 1559.23] Level 33 done
[ 1574.82] Level 34 done
[ 1586.80] Level 35 done
[ 1596.09] Level 36 done
[ 1602.90] Level 37 done
[ 1608.25] Level 38 done
[ 1611.93] Level 39 done
[ 1614.08] Level 40 done
[ 1615.65] Level 41 done
[ 1616.31] Level 42 done
[ 1616.87] Level 43 done
[ 1617.05] Level 44 done
[ 1617.22] Level 45 done
[ 1617.22] BFS Time: 1615.614746
[ 1617.22] Final states: 320,567,601 states
