[    0.89] Read file '/home/oortwijn/distdd/models/petrinets/BridgeAndVehicles-V20-P20-N20-unfolded.bdd'
[    0.89] 78 integers per state, 5 bits per integer, 968 transition groups
[    0.90] Level 1 done
[    0.94] Level 2 done
[    0.98] Level 3 done
[    1.04] Level 4 done
[    1.14] Level 5 done
[    1.26] Level 6 done
[    1.40] Level 7 done
[    1.60] Level 8 done
[    1.85] Level 9 done
[    2.15] Level 10 done
[    2.51] Level 11 done
[    2.95] Level 12 done
[    3.47] Level 13 done
[    4.08] Level 14 done
[    4.80] Level 15 done
[    5.61] Level 16 done
[    6.57] Level 17 done
[    7.65] Level 18 done
[    8.88] Level 19 done
[   10.28] Level 20 done
[   11.89] Level 21 done
[   13.68] Level 22 done
[   15.67] Level 23 done
[   17.87] Level 24 done
[   20.31] Level 25 done
[   22.99] Level 26 done
[   25.93] Level 27 done
[   29.12] Level 28 done
[   32.59] Level 29 done
[   36.33] Level 30 done
[   40.36] Level 31 done
[   44.70] Level 32 done
[   49.34] Level 33 done
[   54.29] Level 34 done
[   59.59] Level 35 done
[   65.23] Level 36 done
[   71.23] Level 37 done
[   77.61] Level 38 done
[   84.37] Level 39 done
[   91.53] Level 40 done
[   99.11] Level 41 done
[  107.08] Level 42 done
[  115.50] Level 43 done
[  124.37] Level 44 done
[  133.69] Level 45 done
[  143.46] Level 46 done
[  153.70] Level 47 done
[  164.46] Level 48 done
[  175.68] Level 49 done
[  187.37] Level 50 done
[  199.60] Level 51 done
[  212.35] Level 52 done
[  225.65] Level 53 done
[  239.48] Level 54 done
[  253.85] Level 55 done
[  268.87] Level 56 done
[  284.43] Level 57 done
[  300.59] Level 58 done
[  317.36] Level 59 done
[  334.76] Level 60 done
[  352.82] Level 61 done
[  371.50] Level 62 done
[  390.82] Level 63 done
[  410.84] Level 64 done
[  431.45] Level 65 done
[  452.63] Level 66 done
[  474.46] Level 67 done
[  496.86] Level 68 done
[  519.88] Level 69 done
[  543.45] Level 70 done
[  567.56] Level 71 done
[  592.25] Level 72 done
[  617.41] Level 73 done
[  643.13] Level 74 done
[  669.20] Level 75 done
[  695.68] Level 76 done
[  722.69] Level 77 done
[  750.04] Level 78 done
[  777.67] Level 79 done
[  805.67] Level 80 done
[  833.90] Level 81 done
[  862.52] Level 82 done
[  864.66] (GC) Starting garbage collection...
[  865.26] (GC) Garbage collection done.
[  922.61] Level 83 done
[  950.46] Level 84 done
[  975.94] Level 85 done
[ 1004.48] Level 86 done
[ 1033.41] Level 87 done
[ 1061.65] Level 88 done
[ 1089.79] Level 89 done
[ 1118.00] Level 90 done
[ 1146.16] Level 91 done
[ 1174.18] Level 92 done
[ 1202.27] Level 93 done
[ 1230.14] Level 94 done
[ 1257.73] Level 95 done
[ 1285.16] Level 96 done
[ 1312.39] Level 97 done
[ 1339.34] Level 98 done
[ 1365.94] Level 99 done
[ 1392.30] Level 100 done
[ 1418.34] Level 101 done
[ 1443.97] Level 102 done
[ 1469.18] Level 103 done
[ 1493.97] Level 104 done
[ 1518.32] Level 105 done
[ 1542.16] Level 106 done
[ 1565.41] Level 107 done
[ 1588.13] Level 108 done
[ 1610.29] Level 109 done
[ 1631.75] Level 110 done
[ 1652.60] Level 111 done
[ 1672.81] Level 112 done
[ 1692.27] Level 113 done
[ 1711.03] Level 114 done
[ 1729.06] Level 115 done
[ 1746.37] Level 116 done
[ 1763.00] Level 117 done
[ 1778.86] Level 118 done
[ 1793.96] Level 119 done
[ 1808.48] Level 120 done
[ 1822.32] Level 121 done
[ 1835.48] Level 122 done
[ 1847.98] Level 123 done
[ 1859.96] Level 124 done
[ 1871.35] Level 125 done
[ 1882.16] Level 126 done
[ 1892.40] Level 127 done
[ 1902.16] Level 128 done
[ 1911.40] Level 129 done
[ 1920.12] Level 130 done
[ 1928.35] Level 131 done
[ 1936.17] Level 132 done
[ 1943.54] Level 133 done
[ 1950.42] Level 134 done
[ 1956.86] Level 135 done
[ 1962.94] Level 136 done
[ 1968.60] Level 137 done
[ 1973.85] Level 138 done
[ 1978.71] Level 139 done
[ 1983.25] (GC) Starting garbage collection...
[ 1983.70] (GC) Garbage collection done.
[ 1984.21] Level 140 done
[ 1997.21] Level 141 done
[ 2002.88] Level 142 done
[ 2007.81] Level 143 done
[ 2011.69] Level 144 done
[ 2014.30] Level 145 done
[ 2016.61] Level 146 done
[ 2018.68] Level 147 done
[ 2020.55] Level 148 done
[ 2022.21] Level 149 done
[ 2023.65] Level 150 done
[ 2024.91] Level 151 done
[ 2026.01] Level 152 done
[ 2026.97] Level 153 done
[ 2027.78] Level 154 done
[ 2028.46] Level 155 done
[ 2029.03] Level 156 done
[ 2029.51] Level 157 done
[ 2029.89] Level 158 done
[ 2030.20] Level 159 done
[ 2030.44] Level 160 done
[ 2030.62] Level 161 done
[ 2030.76] Level 162 done
[ 2030.86] Level 163 done
[ 2030.92] Level 164 done
[ 2030.97] Level 165 done
[ 2031.00] Level 166 done
[ 2031.01] Level 167 done
[ 2031.03] Level 168 done
[ 2031.04] Level 169 done
[ 2031.04] Level 170 done
[ 2031.04] BFS Time: 2030.149415
[ 2031.12] Final states: 9,783,606 states
