[    0.92] Read file '/home/oortwijn/distdd/models/petrinets/BridgeAndVehicles-V20-P10-N20-unfolded.bdd'
[    0.92] 78 integers per state, 5 bits per integer, 968 transition groups
[    0.94] Level 1 done
[    0.98] Level 2 done
[    1.03] Level 3 done
[    1.10] Level 4 done
[    1.21] Level 5 done
[    1.34] Level 6 done
[    1.51] Level 7 done
[    1.71] Level 8 done
[    1.96] Level 9 done
[    2.27] Level 10 done
[    2.63] Level 11 done
[    3.07] Level 12 done
[    3.59] Level 13 done
[    4.21] Level 14 done
[    4.93] Level 15 done
[    5.75] Level 16 done
[    6.71] Level 17 done
[    7.80] Level 18 done
[    9.04] Level 19 done
[   10.45] Level 20 done
[   12.05] Level 21 done
[   13.84] Level 22 done
[   15.84] Level 23 done
[   18.05] Level 24 done
[   20.50] Level 25 done
[   23.20] Level 26 done
[   26.16] Level 27 done
[   29.37] Level 28 done
[   32.86] Level 29 done
[   36.62] Level 30 done
[   40.67] Level 31 done
[   45.07] Level 32 done
[   49.73] Level 33 done
[   54.71] Level 34 done
[   60.00] Level 35 done
[   65.64] Level 36 done
[   71.63] Level 37 done
[   77.96] Level 38 done
[   84.64] Level 39 done
[   91.71] Level 40 done
[   99.13] Level 41 done
[  106.89] Level 42 done
[  115.02] Level 43 done
[  123.53] Level 44 done
[  132.42] Level 45 done
[  141.66] Level 46 done
[  151.26] Level 47 done
[  161.28] Level 48 done
[  171.78] Level 49 done
[  182.50] Level 50 done
[  193.60] Level 51 done
[  205.05] Level 52 done
[  216.85] Level 53 done
[  229.01] Level 54 done
[  241.53] Level 55 done
[  254.41] Level 56 done
[  267.67] Level 57 done
[  281.30] Level 58 done
[  295.31] Level 59 done
[  309.67] Level 60 done
[  324.38] Level 61 done
[  339.47] Level 62 done
[  355.03] Level 63 done
[  370.86] Level 64 done
[  387.05] Level 65 done
[  403.68] Level 66 done
[  420.72] Level 67 done
[  438.07] Level 68 done
[  455.77] Level 69 done
[  473.83] Level 70 done
[  492.24] Level 71 done
[  511.83] Level 72 done
[  530.85] Level 73 done
[  550.21] Level 74 done
[  569.87] Level 75 done
[  589.82] Level 76 done
[  609.95] Level 77 done
[  630.40] Level 78 done
[  651.01] Level 79 done
[  671.82] Level 80 done
[  692.83] Level 81 done
[  713.97] Level 82 done
[  735.31] Level 83 done
[  756.73] Level 84 done
[  778.22] Level 85 done
[  799.92] Level 86 done
[  821.70] Level 87 done
[  822.55] (GC) Starting garbage collection...
[  823.09] (GC) Garbage collection done.
[  874.57] Level 88 done
[  895.55] Level 89 done
[  915.05] Level 90 done
[  936.49] Level 91 done
[  957.74] Level 92 done
[  978.23] Level 93 done
[  998.58] Level 94 done
[ 1018.73] Level 95 done
[ 1038.77] Level 96 done
[ 1058.81] Level 97 done
[ 1078.76] Level 98 done
[ 1098.47] Level 99 done
[ 1118.89] Level 100 done
[ 1138.03] Level 101 done
[ 1156.92] Level 102 done
[ 1175.38] Level 103 done
[ 1193.52] Level 104 done
[ 1211.23] Level 105 done
[ 1228.53] Level 106 done
[ 1245.43] Level 107 done
[ 1261.77] Level 108 done
[ 1277.59] Level 109 done
[ 1292.94] Level 110 done
[ 1307.73] Level 111 done
[ 1321.95] Level 112 done
[ 1335.64] Level 113 done
[ 1348.77] Level 114 done
[ 1361.31] Level 115 done
[ 1373.37] Level 116 done
[ 1384.86] Level 117 done
[ 1395.93] Level 118 done
[ 1406.67] Level 119 done
[ 1417.18] Level 120 done
[ 1426.64] Level 121 done
[ 1435.63] Level 122 done
[ 1444.14] Level 123 done
[ 1452.24] Level 124 done
[ 1459.99] Level 125 done
[ 1467.26] Level 126 done
[ 1474.11] Level 127 done
[ 1480.59] Level 128 done
[ 1486.68] Level 129 done
[ 1492.47] Level 130 done
[ 1497.93] Level 131 done
[ 1503.09] Level 132 done
[ 1507.96] Level 133 done
[ 1512.63] Level 134 done
[ 1516.99] Level 135 done
[ 1521.06] Level 136 done
[ 1524.88] Level 137 done
[ 1528.45] Level 138 done
[ 1531.78] Level 139 done
[ 1534.91] Level 140 done
[ 1537.82] Level 141 done
[ 1540.54] Level 142 done
[ 1543.05] Level 143 done
[ 1545.39] Level 144 done
[ 1547.55] Level 145 done
[ 1549.52] Level 146 done
[ 1551.32] Level 147 done
[ 1552.98] Level 148 done
[ 1554.48] Level 149 done
[ 1555.83] Level 150 done
[ 1557.01] Level 151 done
[ 1558.08] Level 152 done
[ 1559.03] Level 153 done
[ 1559.85] Level 154 done
[ 1560.53] Level 155 done
[ 1561.13] Level 156 done
[ 1561.64] Level 157 done
[ 1562.04] Level 158 done
[ 1562.38] Level 159 done
[ 1562.64] Level 160 done
[ 1562.83] Level 161 done
[ 1563.00] Level 162 done
[ 1563.11] Level 163 done
[ 1563.18] Level 164 done
[ 1563.24] Level 165 done
[ 1563.27] Level 166 done
[ 1563.29] Level 167 done
[ 1563.31] Level 168 done
[ 1563.34] Level 169 done
[ 1563.34] Level 170 done
[ 1563.34] BFS Time: 1562.414714
[ 1563.39] Final states: 9,076,326 states
