[    0.89] Read file '/home/oortwijn/distdd/models/petrinets/BridgeAndVehicles-V20-P10-N20-unfolded.bdd'
[    0.89] 78 integers per state, 5 bits per integer, 968 transition groups
[    0.91] Level 1 done
[    0.94] Level 2 done
[    0.98] Level 3 done
[    1.04] Level 4 done
[    1.14] Level 5 done
[    1.26] Level 6 done
[    1.41] Level 7 done
[    1.60] Level 8 done
[    1.85] Level 9 done
[    2.15] Level 10 done
[    2.52] Level 11 done
[    2.96] Level 12 done
[    3.49] Level 13 done
[    4.11] Level 14 done
[    4.83] Level 15 done
[    5.65] Level 16 done
[    6.61] Level 17 done
[    7.70] Level 18 done
[    8.93] Level 19 done
[   10.34] Level 20 done
[   11.93] Level 21 done
[   13.71] Level 22 done
[   15.70] Level 23 done
[   17.91] Level 24 done
[   20.35] Level 25 done
[   23.04] Level 26 done
[   25.98] Level 27 done
[   29.18] Level 28 done
[   32.66] Level 29 done
[   36.41] Level 30 done
[   40.45] Level 31 done
[   44.79] Level 32 done
[   49.44] Level 33 done
[   54.39] Level 34 done
[   59.67] Level 35 done
[   65.29] Level 36 done
[   71.26] Level 37 done
[   77.56] Level 38 done
[   84.22] Level 39 done
[   91.24] Level 40 done
[   98.63] Level 41 done
[  106.37] Level 42 done
[  114.46] Level 43 done
[  122.95] Level 44 done
[  131.80] Level 45 done
[  141.00] Level 46 done
[  150.57] Level 47 done
[  160.52] Level 48 done
[  170.83] Level 49 done
[  181.49] Level 50 done
[  192.52] Level 51 done
[  203.92] Level 52 done
[  215.65] Level 53 done
[  227.78] Level 54 done
[  240.24] Level 55 done
[  253.08] Level 56 done
[  266.29] Level 57 done
[  279.87] Level 58 done
[  293.83] Level 59 done
[  308.15] Level 60 done
[  322.80] Level 61 done
[  337.84] Level 62 done
[  353.25] Level 63 done
[  369.04] Level 64 done
[  385.17] Level 65 done
[  401.74] Level 66 done
[  418.62] Level 67 done
[  435.89] Level 68 done
[  453.50] Level 69 done
[  471.50] Level 70 done
[  489.87] Level 71 done
[  508.54] Level 72 done
[  527.49] Level 73 done
[  546.78] Level 74 done
[  566.39] Level 75 done
[  586.26] Level 76 done
[  606.32] Level 77 done
[  626.69] Level 78 done
[  647.22] Level 79 done
[  667.97] Level 80 done
[  688.90] Level 81 done
[  709.97] Level 82 done
[  731.24] Level 83 done
[  752.59] Level 84 done
[  774.00] Level 85 done
[  795.62] Level 86 done
[  817.28] Level 87 done
[  818.13] (GC) Starting garbage collection...
[  818.67] (GC) Garbage collection done.
[  870.00] Level 88 done
[  890.84] Level 89 done
[  910.36] Level 90 done
[  931.72] Level 91 done
[  952.90] Level 92 done
[  973.32] Level 93 done
[  993.61] Level 94 done
[ 1013.70] Level 95 done
[ 1033.69] Level 96 done
[ 1053.66] Level 97 done
[ 1073.54] Level 98 done
[ 1093.29] Level 99 done
[ 1112.63] Level 100 done
[ 1131.69] Level 101 done
[ 1150.52] Level 102 done
[ 1168.90] Level 103 done
[ 1186.91] Level 104 done
[ 1204.56] Level 105 done
[ 1221.79] Level 106 done
[ 1238.53] Level 107 done
[ 1254.80] Level 108 done
[ 1270.56] Level 109 done
[ 1285.84] Level 110 done
[ 1300.57] Level 111 done
[ 1314.74] Level 112 done
[ 1328.38] Level 113 done
[ 1341.47] Level 114 done
[ 1353.97] Level 115 done
[ 1365.93] Level 116 done
[ 1377.39] Level 117 done
[ 1388.31] Level 118 done
[ 1398.70] Level 119 done
[ 1408.59] Level 120 done
[ 1418.02] Level 121 done
[ 1426.98] Level 122 done
[ 1435.46] Level 123 done
[ 1443.53] Level 124 done
[ 1451.28] Level 125 done
[ 1458.52] Level 126 done
[ 1465.34] Level 127 done
[ 1471.80] Level 128 done
[ 1477.87] Level 129 done
[ 1483.64] Level 130 done
[ 1489.08] Level 131 done
[ 1494.23] Level 132 done
[ 1499.07] Level 133 done
[ 1503.65] Level 134 done
[ 1507.93] Level 135 done
[ 1511.98] Level 136 done
[ 1515.79] Level 137 done
[ 1519.35] Level 138 done
[ 1522.67] Level 139 done
[ 1525.79] Level 140 done
[ 1528.69] Level 141 done
[ 1531.40] Level 142 done
[ 1533.90] Level 143 done
[ 1536.23] Level 144 done
[ 1538.39] Level 145 done
[ 1540.36] Level 146 done
[ 1542.15] Level 147 done
[ 1543.80] Level 148 done
[ 1545.30] Level 149 done
[ 1546.64] Level 150 done
[ 1547.82] Level 151 done
[ 1548.89] Level 152 done
[ 1549.83] Level 153 done
[ 1550.65] Level 154 done
[ 1551.33] Level 155 done
[ 1551.93] Level 156 done
[ 1552.43] Level 157 done
[ 1552.83] Level 158 done
[ 1553.17] Level 159 done
[ 1553.43] Level 160 done
[ 1553.62] Level 161 done
[ 1553.79] Level 162 done
[ 1553.89] Level 163 done
[ 1553.96] Level 164 done
[ 1554.03] Level 165 done
[ 1554.06] Level 166 done
[ 1554.08] Level 167 done
[ 1554.10] Level 168 done
[ 1554.12] Level 169 done
[ 1554.12] Level 170 done
[ 1554.12] BFS Time: 1553.232371
[ 1554.18] Final states: 9,076,326 states
