[    0.91] Read file '/home/oortwijn/distdd/models/petrinets/BridgeAndVehicles-V20-P10-N20-unfolded.bdd'
[    0.91] 78 integers per state, 5 bits per integer, 968 transition groups
[    0.92] Level 1 done
[    0.96] Level 2 done
[    1.01] Level 3 done
[    1.08] Level 4 done
[    1.19] Level 5 done
[    1.32] Level 6 done
[    1.49] Level 7 done
[    1.69] Level 8 done
[    1.94] Level 9 done
[    2.24] Level 10 done
[    2.61] Level 11 done
[    3.04] Level 12 done
[    3.90] Level 13 done
[    4.72] Level 14 done
[    5.83] Level 15 done
[    7.00] Level 16 done
[    8.26] Level 17 done
[    9.51] Level 18 done
[   10.81] Level 19 done
[   12.22] Level 20 done
[   13.81] Level 21 done
[   15.58] Level 22 done
[   17.57] Level 23 done
[   19.77] Level 24 done
[   22.20] Level 25 done
[   24.88] Level 26 done
[   27.81] Level 27 done
[   31.00] Level 28 done
[   34.46] Level 29 done
[   38.20] Level 30 done
[   42.22] Level 31 done
[   46.54] Level 32 done
[   51.17] Level 33 done
[   56.10] Level 34 done
[   61.35] Level 35 done
[   66.99] Level 36 done
[   72.98] Level 37 done
[   79.26] Level 38 done
[   85.89] Level 39 done
[   92.88] Level 40 done
[  100.25] Level 41 done
[  107.95] Level 42 done
[  116.01] Level 43 done
[  124.50] Level 44 done
[  133.38] Level 45 done
[  142.54] Level 46 done
[  152.08] Level 47 done
[  161.98] Level 48 done
[  172.25] Level 49 done
[  182.87] Level 50 done
[  193.86] Level 51 done
[  205.21] Level 52 done
[  216.90] Level 53 done
[  228.97] Level 54 done
[  241.39] Level 55 done
[  254.17] Level 56 done
[  267.33] Level 57 done
[  280.85] Level 58 done
[  294.75] Level 59 done
[  309.00] Level 60 done
[  323.60] Level 61 done
[  338.58] Level 62 done
[  353.93] Level 63 done
[  369.65] Level 64 done
[  385.71] Level 65 done
[  402.21] Level 66 done
[  419.02] Level 67 done
[  436.22] Level 68 done
[  453.75] Level 69 done
[  471.66] Level 70 done
[  489.93] Level 71 done
[  508.51] Level 72 done
[  527.38] Level 73 done
[  546.57] Level 74 done
[  566.08] Level 75 done
[  585.86] Level 76 done
[  605.83] Level 77 done
[  626.10] Level 78 done
[  646.54] Level 79 done
[  667.18] Level 80 done
[  688.01] Level 81 done
[  708.96] Level 82 done
[  730.12] Level 83 done
[  751.36] Level 84 done
[  772.65] Level 85 done
[  794.16] Level 86 done
[  815.70] Level 87 done
[  816.55] (GC) Starting garbage collection...
[  817.08] (GC) Garbage collection done.
[  868.21] Level 88 done
[  888.97] Level 89 done
[  908.32] Level 90 done
[  929.60] Level 91 done
[  950.69] Level 92 done
[  971.02] Level 93 done
[  991.23] Level 94 done
[ 1011.23] Level 95 done
[ 1031.13] Level 96 done
[ 1051.02] Level 97 done
[ 1070.81] Level 98 done
[ 1090.38] Level 99 done
[ 1109.64] Level 100 done
[ 1128.62] Level 101 done
[ 1147.36] Level 102 done
[ 1165.68] Level 103 done
[ 1183.61] Level 104 done
[ 1201.20] Level 105 done
[ 1218.37] Level 106 done
[ 1235.04] Level 107 done
[ 1251.25] Level 108 done
[ 1266.96] Level 109 done
[ 1282.17] Level 110 done
[ 1296.85] Level 111 done
[ 1310.97] Level 112 done
[ 1324.56] Level 113 done
[ 1337.59] Level 114 done
[ 1350.04] Level 115 done
[ 1361.96] Level 116 done
[ 1373.37] Level 117 done
[ 1384.25] Level 118 done
[ 1394.61] Level 119 done
[ 1404.46] Level 120 done
[ 1413.85] Level 121 done
[ 1422.77] Level 122 done
[ 1431.22] Level 123 done
[ 1439.26] Level 124 done
[ 1446.96] Level 125 done
[ 1454.17] Level 126 done
[ 1461.01] Level 127 done
[ 1467.50] Level 128 done
[ 1473.55] Level 129 done
[ 1479.30] Level 130 done
[ 1484.71] Level 131 done
[ 1489.84] Level 132 done
[ 1494.66] Level 133 done
[ 1499.22] Level 134 done
[ 1503.48] Level 135 done
[ 1507.52] Level 136 done
[ 1511.31] Level 137 done
[ 1514.85] Level 138 done
[ 1518.16] Level 139 done
[ 1521.26] Level 140 done
[ 1524.15] Level 141 done
[ 1526.85] Level 142 done
[ 1529.33] Level 143 done
[ 1531.66] Level 144 done
[ 1533.81] Level 145 done
[ 1535.77] Level 146 done
[ 1537.55] Level 147 done
[ 1539.20] Level 148 done
[ 1540.69] Level 149 done
[ 1542.03] Level 150 done
[ 1543.20] Level 151 done
[ 1544.27] Level 152 done
[ 1545.20] Level 153 done
[ 1546.02] Level 154 done
[ 1546.70] Level 155 done
[ 1547.29] Level 156 done
[ 1547.79] Level 157 done
[ 1548.20] Level 158 done
[ 1548.53] Level 159 done
[ 1548.79] Level 160 done
[ 1548.98] Level 161 done
[ 1549.15] Level 162 done
[ 1549.25] Level 163 done
[ 1549.32] Level 164 done
[ 1549.39] Level 165 done
[ 1549.41] Level 166 done
[ 1549.44] Level 167 done
[ 1549.46] Level 168 done
[ 1549.48] Level 169 done
[ 1549.48] Level 170 done
[ 1549.48] BFS Time: 1548.577821
[ 1549.54] Final states: 9,076,326 states
