[    0.90] Read file '/home/oortwijn/distdd/models/petrinets/BridgeAndVehicles-V20-P10-N20-unfolded.bdd'
[    0.90] 78 integers per state, 5 bits per integer, 968 transition groups
[    0.91] Level 1 done
[    0.95] Level 2 done
[    0.99] Level 3 done
[    1.05] Level 4 done
[    1.15] Level 5 done
[    1.27] Level 6 done
[    1.42] Level 7 done
[    1.61] Level 8 done
[    1.86] Level 9 done
[    2.17] Level 10 done
[    2.54] Level 11 done
[    2.97] Level 12 done
[    3.50] Level 13 done
[    4.12] Level 14 done
[    4.84] Level 15 done
[    5.66] Level 16 done
[    6.62] Level 17 done
[    7.72] Level 18 done
[    8.96] Level 19 done
[   10.37] Level 20 done
[   11.98] Level 21 done
[   13.77] Level 22 done
[   15.77] Level 23 done
[   17.99] Level 24 done
[   20.45] Level 25 done
[   23.15] Level 26 done
[   26.11] Level 27 done
[   29.32] Level 28 done
[   32.82] Level 29 done
[   36.59] Level 30 done
[   40.65] Level 31 done
[   45.01] Level 32 done
[   49.69] Level 33 done
[   54.67] Level 34 done
[   59.97] Level 35 done
[   65.62] Level 36 done
[   71.61] Level 37 done
[   77.95] Level 38 done
[   84.64] Level 39 done
[   91.70] Level 40 done
[   99.14] Level 41 done
[  106.93] Level 42 done
[  115.07] Level 43 done
[  123.61] Level 44 done
[  132.52] Level 45 done
[  141.77] Level 46 done
[  151.42] Level 47 done
[  161.42] Level 48 done
[  171.82] Level 49 done
[  182.55] Level 50 done
[  193.67] Level 51 done
[  205.14] Level 52 done
[  216.95] Level 53 done
[  229.17] Level 54 done
[  241.75] Level 55 done
[  254.66] Level 56 done
[  267.99] Level 57 done
[  281.66] Level 58 done
[  295.73] Level 59 done
[  310.13] Level 60 done
[  324.93] Level 61 done
[  340.11] Level 62 done
[  355.69] Level 63 done
[  371.63] Level 64 done
[  387.93] Level 65 done
[  404.70] Level 66 done
[  421.79] Level 67 done
[  439.31] Level 68 done
[  457.17] Level 69 done
[  475.47] Level 70 done
[  494.11] Level 71 done
[  513.10] Level 72 done
[  532.39] Level 73 done
[  552.03] Level 74 done
[  572.02] Level 75 done
[  598.75] Level 76 done
[  627.64] Level 77 done
[  657.12] Level 78 done
[  686.00] Level 79 done
[  710.73] Level 80 done
[  734.47] Level 81 done
[  756.12] Level 82 done
[  777.60] Level 83 done
[  799.17] Level 84 done
[  820.80] Level 85 done
[  842.65] Level 86 done
[  864.53] Level 87 done
[  865.38] (GC) Starting garbage collection...
[  865.93] (GC) Garbage collection done.
[  917.70] Level 88 done
[  938.76] Level 89 done
[  958.40] Level 90 done
[  979.99] Level 91 done
[ 1001.39] Level 92 done
[ 1022.03] Level 93 done
[ 1042.53] Level 94 done
[ 1062.83] Level 95 done
[ 1083.03] Level 96 done
[ 1103.21] Level 97 done
[ 1123.31] Level 98 done
[ 1143.16] Level 99 done
[ 1162.71] Level 100 done
[ 1182.06] Level 101 done
[ 1201.08] Level 102 done
[ 1219.66] Level 103 done
[ 1237.85] Level 104 done
[ 1255.69] Level 105 done
[ 1273.22] Level 106 done
[ 1290.14] Level 107 done
[ 1306.58] Level 108 done
[ 1322.52] Level 109 done
[ 1337.97] Level 110 done
[ 1352.88] Level 111 done
[ 1367.21] Level 112 done
[ 1381.00] Level 113 done
[ 1394.23] Level 114 done
[ 1406.86] Level 115 done
[ 1418.95] Level 116 done
[ 1430.54] Level 117 done
[ 1441.58] Level 118 done
[ 1452.09] Level 119 done
[ 1462.19] Level 120 done
[ 1471.72] Level 121 done
[ 1480.77] Level 122 done
[ 1489.35] Level 123 done
[ 1497.51] Level 124 done
[ 1505.32] Level 125 done
[ 1512.64] Level 126 done
[ 1519.54] Level 127 done
[ 1526.07] Level 128 done
[ 1532.21] Level 129 done
[ 1538.04] Level 130 done
[ 1543.55] Level 131 done
[ 1548.80] Level 132 done
[ 1553.72] Level 133 done
[ 1558.35] Level 134 done
[ 1562.68] Level 135 done
[ 1566.78] Level 136 done
[ 1570.63] Level 137 done
[ 1574.22] Level 138 done
[ 1577.59] Level 139 done
[ 1580.74] Level 140 done
[ 1583.68] Level 141 done
[ 1586.41] Level 142 done
[ 1588.94] Level 143 done
[ 1591.30] Level 144 done
[ 1593.48] Level 145 done
[ 1595.47] Level 146 done
[ 1597.28] Level 147 done
[ 1598.95] Level 148 done
[ 1600.47] Level 149 done
[ 1601.83] Level 150 done
[ 1603.02] Level 151 done
[ 1604.10] Level 152 done
[ 1605.05] Level 153 done
[ 1605.88] Level 154 done
[ 1606.57] Level 155 done
[ 1607.18] Level 156 done
[ 1607.68] Level 157 done
[ 1608.09] Level 158 done
[ 1608.43] Level 159 done
[ 1608.69] Level 160 done
[ 1608.89] Level 161 done
[ 1609.06] Level 162 done
[ 1609.17] Level 163 done
[ 1609.24] Level 164 done
[ 1609.30] Level 165 done
[ 1609.33] Level 166 done
[ 1609.35] Level 167 done
[ 1609.37] Level 168 done
[ 1609.40] Level 169 done
[ 1609.40] Level 170 done
[ 1609.40] BFS Time: 1608.496649
[ 1609.49] Final states: 9,076,326 states
