[    0.89] Read file '/home/oortwijn/distdd/models/petrinets/BridgeAndVehicles-V20-P20-N20-unfolded.bdd'
[    0.89] 78 integers per state, 5 bits per integer, 968 transition groups
[    0.91] Level 1 done
[    0.94] Level 2 done
[    0.98] Level 3 done
[    1.04] Level 4 done
[    1.14] Level 5 done
[    1.26] Level 6 done
[    1.40] Level 7 done
[    1.60] Level 8 done
[    1.85] Level 9 done
[    2.15] Level 10 done
[    2.51] Level 11 done
[    2.95] Level 12 done
[    3.47] Level 13 done
[    4.09] Level 14 done
[    4.80] Level 15 done
[    5.61] Level 16 done
[    6.57] Level 17 done
[    7.65] Level 18 done
[    8.88] Level 19 done
[   10.28] Level 20 done
[   11.88] Level 21 done
[   13.66] Level 22 done
[   15.64] Level 23 done
[   17.85] Level 24 done
[   20.29] Level 25 done
[   22.98] Level 26 done
[   25.92] Level 27 done
[   29.11] Level 28 done
[   32.58] Level 29 done
[   36.33] Level 30 done
[   40.37] Level 31 done
[   44.71] Level 32 done
[   49.35] Level 33 done
[   54.31] Level 34 done
[   59.61] Level 35 done
[   65.26] Level 36 done
[   71.26] Level 37 done
[   77.65] Level 38 done
[   84.42] Level 39 done
[   91.58] Level 40 done
[   99.16] Level 41 done
[  107.14] Level 42 done
[  115.56] Level 43 done
[  124.44] Level 44 done
[  133.76] Level 45 done
[  143.54] Level 46 done
[  153.78] Level 47 done
[  164.55] Level 48 done
[  175.77] Level 49 done
[  187.47] Level 50 done
[  199.70] Level 51 done
[  212.47] Level 52 done
[  225.77] Level 53 done
[  239.60] Level 54 done
[  253.98] Level 55 done
[  268.99] Level 56 done
[  284.57] Level 57 done
[  300.73] Level 58 done
[  317.52] Level 59 done
[  334.93] Level 60 done
[  352.99] Level 61 done
[  371.68] Level 62 done
[  391.01] Level 63 done
[  411.03] Level 64 done
[  431.65] Level 65 done
[  452.85] Level 66 done
[  474.72] Level 67 done
[  497.10] Level 68 done
[  520.12] Level 69 done
[  543.67] Level 70 done
[  567.76] Level 71 done
[  592.42] Level 72 done
[  617.55] Level 73 done
[  643.26] Level 74 done
[  669.32] Level 75 done
[  695.77] Level 76 done
[  722.75] Level 77 done
[  750.06] Level 78 done
[  777.66] Level 79 done
[  805.64] Level 80 done
[  833.84] Level 81 done
[  862.43] Level 82 done
[  864.57] (GC) Starting garbage collection...
[  865.16] (GC) Garbage collection done.
[  922.50] Level 83 done
[  950.31] Level 84 done
[  975.75] Level 85 done
[ 1004.28] Level 86 done
[ 1033.19] Level 87 done
[ 1061.37] Level 88 done
[ 1089.48] Level 89 done
[ 1117.69] Level 90 done
[ 1145.80] Level 91 done
[ 1173.78] Level 92 done
[ 1201.83] Level 93 done
[ 1229.67] Level 94 done
[ 1257.25] Level 95 done
[ 1284.63] Level 96 done
[ 1311.83] Level 97 done
[ 1338.75] Level 98 done
[ 1365.31] Level 99 done
[ 1391.63] Level 100 done
[ 1417.63] Level 101 done
[ 1443.24] Level 102 done
[ 1468.43] Level 103 done
[ 1493.22] Level 104 done
[ 1517.52] Level 105 done
[ 1541.32] Level 106 done
[ 1564.56] Level 107 done
[ 1587.26] Level 108 done
[ 1609.40] Level 109 done
[ 1630.82] Level 110 done
[ 1651.66] Level 111 done
[ 1671.83] Level 112 done
[ 1691.28] Level 113 done
[ 1710.04] Level 114 done
[ 1728.05] Level 115 done
[ 1745.33] Level 116 done
[ 1761.94] Level 117 done
[ 1777.78] Level 118 done
[ 1792.88] Level 119 done
[ 1807.38] Level 120 done
[ 1821.21] Level 121 done
[ 1834.35] Level 122 done
[ 1846.85] Level 123 done
[ 1858.81] Level 124 done
[ 1870.19] Level 125 done
[ 1880.98] Level 126 done
[ 1891.21] Level 127 done
[ 1900.95] Level 128 done
[ 1910.18] Level 129 done
[ 1918.89] Level 130 done
[ 1927.11] Level 131 done
[ 1934.91] Level 132 done
[ 1942.26] Level 133 done
[ 1949.14] Level 134 done
[ 1955.56] Level 135 done
[ 1961.63] Level 136 done
[ 1967.29] Level 137 done
[ 1972.53] Level 138 done
[ 1977.38] Level 139 done
[ 1981.92] (GC) Starting garbage collection...
[ 1982.36] (GC) Garbage collection done.
[ 1982.88] Level 140 done
[ 1995.90] Level 141 done
[ 2001.56] Level 142 done
[ 2006.48] Level 143 done
[ 2010.36] Level 144 done
[ 2012.97] Level 145 done
[ 2015.27] Level 146 done
[ 2017.34] Level 147 done
[ 2019.20] Level 148 done
[ 2020.85] Level 149 done
[ 2022.29] Level 150 done
[ 2023.55] Level 151 done
[ 2024.65] Level 152 done
[ 2025.61] Level 153 done
[ 2026.42] Level 154 done
[ 2027.10] Level 155 done
[ 2027.67] Level 156 done
[ 2028.14] Level 157 done
[ 2028.53] Level 158 done
[ 2028.83] Level 159 done
[ 2029.07] Level 160 done
[ 2029.25] Level 161 done
[ 2029.40] Level 162 done
[ 2029.49] Level 163 done
[ 2029.56] Level 164 done
[ 2029.60] Level 165 done
[ 2029.63] Level 166 done
[ 2029.64] Level 167 done
[ 2029.66] Level 168 done
[ 2029.67] Level 169 done
[ 2029.67] Level 170 done
[ 2029.67] BFS Time: 2028.780965
[ 2029.75] Final states: 9,783,606 states
