[    0.93] Read file '/home/oortwijn/distdd/models/petrinets/BridgeAndVehicles-V20-P20-N20-unfolded.bdd'
[    0.93] 78 integers per state, 5 bits per integer, 968 transition groups
[    0.95] Level 1 done
[    0.98] Level 2 done
[    1.02] Level 3 done
[    1.09] Level 4 done
[    1.18] Level 5 done
[    1.30] Level 6 done
[    1.45] Level 7 done
[    1.65] Level 8 done
[    1.90] Level 9 done
[    2.20] Level 10 done
[    2.57] Level 11 done
[    3.00] Level 12 done
[    3.53] Level 13 done
[    4.15] Level 14 done
[    4.86] Level 15 done
[    5.68] Level 16 done
[    6.64] Level 17 done
[    7.73] Level 18 done
[    8.98] Level 19 done
[   10.38] Level 20 done
[   11.98] Level 21 done
[   13.77] Level 22 done
[   15.76] Level 23 done
[   17.98] Level 24 done
[   20.42] Level 25 done
[   23.12] Level 26 done
[   26.08] Level 27 done
[   29.27] Level 28 done
[   32.74] Level 29 done
[   36.49] Level 30 done
[   40.53] Level 31 done
[   44.86] Level 32 done
[   49.50] Level 33 done
[   54.46] Level 34 done
[   59.77] Level 35 done
[   65.42] Level 36 done
[   71.44] Level 37 done
[   77.83] Level 38 done
[   84.61] Level 39 done
[   91.78] Level 40 done
[   99.37] Level 41 done
[  107.36] Level 42 done
[  115.79] Level 43 done
[  124.67] Level 44 done
[  134.00] Level 45 done
[  143.78] Level 46 done
[  154.04] Level 47 done
[  164.81] Level 48 done
[  176.05] Level 49 done
[  187.75] Level 50 done
[  199.99] Level 51 done
[  212.79] Level 52 done
[  226.10] Level 53 done
[  239.96] Level 54 done
[  254.35] Level 55 done
[  269.38] Level 56 done
[  285.84] Level 57 done
[  302.19] Level 58 done
[  318.98] Level 59 done
[  336.41] Level 60 done
[  354.49] Level 61 done
[  373.21] Level 62 done
[  392.58] Level 63 done
[  412.61] Level 64 done
[  433.25] Level 65 done
[  454.49] Level 66 done
[  476.35] Level 67 done
[  498.78] Level 68 done
[  521.83] Level 69 done
[  545.45] Level 70 done
[  569.58] Level 71 done
[  594.32] Level 72 done
[  619.50] Level 73 done
[  645.26] Level 74 done
[  671.38] Level 75 done
[  697.91] Level 76 done
[  724.96] Level 77 done
[  752.33] Level 78 done
[  780.00] Level 79 done
[  808.03] Level 80 done
[  836.29] Level 81 done
[  864.96] Level 82 done
[  867.10] (GC) Starting garbage collection...
[  867.69] (GC) Garbage collection done.
[  925.16] Level 83 done
[  953.05] Level 84 done
[  978.57] Level 85 done
[ 1007.15] Level 86 done
[ 1036.17] Level 87 done
[ 1064.46] Level 88 done
[ 1092.68] Level 89 done
[ 1120.98] Level 90 done
[ 1149.20] Level 91 done
[ 1177.32] Level 92 done
[ 1205.45] Level 93 done
[ 1233.36] Level 94 done
[ 1261.00] Level 95 done
[ 1288.46] Level 96 done
[ 1315.71] Level 97 done
[ 1342.71] Level 98 done
[ 1369.33] Level 99 done
[ 1395.75] Level 100 done
[ 1421.84] Level 101 done
[ 1447.51] Level 102 done
[ 1472.75] Level 103 done
[ 1497.57] Level 104 done
[ 1521.95] Level 105 done
[ 1545.83] Level 106 done
[ 1569.11] Level 107 done
[ 1591.89] Level 108 done
[ 1614.10] Level 109 done
[ 1635.58] Level 110 done
[ 1656.47] Level 111 done
[ 1676.72] Level 112 done
[ 1696.20] Level 113 done
[ 1714.98] Level 114 done
[ 1733.04] Level 115 done
[ 1750.37] Level 116 done
[ 1767.03] Level 117 done
[ 1782.93] Level 118 done
[ 1798.05] Level 119 done
[ 1812.59] Level 120 done
[ 1826.49] Level 121 done
[ 1839.68] Level 122 done
[ 1852.22] Level 123 done
[ 1864.22] Level 124 done
[ 1875.62] Level 125 done
[ 1886.45] Level 126 done
[ 1896.70] Level 127 done
[ 1906.47] Level 128 done
[ 1915.74] Level 129 done
[ 1924.49] Level 130 done
[ 1932.73] Level 131 done
[ 1940.54] Level 132 done
[ 1947.92] Level 133 done
[ 1954.82] Level 134 done
[ 1961.27] Level 135 done
[ 1967.36] Level 136 done
[ 1973.03] Level 137 done
[ 1978.29] Level 138 done
[ 1983.15] Level 139 done
[ 1987.70] (GC) Starting garbage collection...
[ 1988.15] (GC) Garbage collection done.
[ 1988.67] Level 140 done
[ 2001.71] Level 141 done
[ 2007.39] Level 142 done
[ 2012.32] Level 143 done
[ 2016.20] Level 144 done
[ 2018.81] Level 145 done
[ 2021.13] Level 146 done
[ 2023.20] Level 147 done
[ 2025.07] Level 148 done
[ 2026.72] Level 149 done
[ 2028.17] Level 150 done
[ 2029.43] Level 151 done
[ 2030.55] Level 152 done
[ 2031.51] Level 153 done
[ 2032.32] Level 154 done
[ 2033.00] Level 155 done
[ 2033.58] Level 156 done
[ 2034.05] Level 157 done
[ 2034.44] Level 158 done
[ 2034.74] Level 159 done
[ 2034.98] Level 160 done
[ 2035.17] Level 161 done
[ 2035.31] Level 162 done
[ 2035.41] Level 163 done
[ 2035.47] Level 164 done
[ 2035.51] Level 165 done
[ 2035.54] Level 166 done
[ 2035.56] Level 167 done
[ 2035.57] Level 168 done
[ 2035.58] Level 169 done
[ 2035.59] Level 170 done
[ 2035.59] BFS Time: 2034.651867
[ 2035.71] Final states: 9,783,606 states
