[    0.89] Read file '/home/oortwijn/distdd/models/petrinets/BridgeAndVehicles-V20-P20-N20-unfolded.bdd'
[    0.89] 78 integers per state, 5 bits per integer, 968 transition groups
[    0.91] Level 1 done
[    0.94] Level 2 done
[    0.98] Level 3 done
[    1.04] Level 4 done
[    1.14] Level 5 done
[    1.26] Level 6 done
[    1.41] Level 7 done
[    1.60] Level 8 done
[    1.85] Level 9 done
[    2.16] Level 10 done
[    2.52] Level 11 done
[    2.96] Level 12 done
[    3.48] Level 13 done
[    4.10] Level 14 done
[    4.82] Level 15 done
[    5.64] Level 16 done
[    6.59] Level 17 done
[    7.68] Level 18 done
[    8.92] Level 19 done
[   10.33] Level 20 done
[   11.93] Level 21 done
[   13.72] Level 22 done
[   15.72] Level 23 done
[   17.93] Level 24 done
[   20.39] Level 25 done
[   23.09] Level 26 done
[   26.04] Level 27 done
[   29.25] Level 28 done
[   32.75] Level 29 done
[   36.52] Level 30 done
[   40.58] Level 31 done
[   44.93] Level 32 done
[   49.60] Level 33 done
[   54.59] Level 34 done
[   59.92] Level 35 done
[   65.60] Level 36 done
[   71.63] Level 37 done
[   78.05] Level 38 done
[   84.86] Level 39 done
[   92.06] Level 40 done
[   99.69] Level 41 done
[  107.71] Level 42 done
[  116.18] Level 43 done
[  125.11] Level 44 done
[  134.49] Level 45 done
[  144.32] Level 46 done
[  154.62] Level 47 done
[  165.44] Level 48 done
[  176.72] Level 49 done
[  188.48] Level 50 done
[  200.78] Level 51 done
[  213.61] Level 52 done
[  226.97] Level 53 done
[  240.87] Level 54 done
[  255.32] Level 55 done
[  270.42] Level 56 done
[  286.06] Level 57 done
[  302.31] Level 58 done
[  319.16] Level 59 done
[  336.66] Level 60 done
[  354.81] Level 61 done
[  373.58] Level 62 done
[  393.00] Level 63 done
[  413.11] Level 64 done
[  433.82] Level 65 done
[  455.11] Level 66 done
[  477.04] Level 67 done
[  499.54] Level 68 done
[  522.68] Level 69 done
[  546.36] Level 70 done
[  570.60] Level 71 done
[  595.40] Level 72 done
[  620.67] Level 73 done
[  646.52] Level 74 done
[  672.71] Level 75 done
[  699.31] Level 76 done
[  726.45] Level 77 done
[  753.91] Level 78 done
[  781.66] Level 79 done
[  809.79] Level 80 done
[  838.16] Level 81 done
[  866.89] Level 82 done
[  869.03] (GC) Starting garbage collection...
[  869.62] (GC) Garbage collection done.
[  927.20] Level 83 done
[  955.16] Level 84 done
[  980.75] Level 85 done
[ 1009.42] Level 86 done
[ 1038.46] Level 87 done
[ 1066.81] Level 88 done
[ 1095.08] Level 89 done
[ 1123.41] Level 90 done
[ 1151.67] Level 91 done
[ 1179.81] Level 92 done
[ 1208.02] Level 93 done
[ 1236.00] Level 94 done
[ 1263.70] Level 95 done
[ 1291.25] Level 96 done
[ 1318.59] Level 97 done
[ 1345.66] Level 98 done
[ 1372.37] Level 99 done
[ 1398.84] Level 100 done
[ 1424.99] Level 101 done
[ 1450.74] Level 102 done
[ 1476.04] Level 103 done
[ 1500.93] Level 104 done
[ 1525.36] Level 105 done
[ 1549.30] Level 106 done
[ 1572.67] Level 107 done
[ 1595.50] Level 108 done
[ 1617.79] Level 109 done
[ 1639.34] Level 110 done
[ 1660.29] Level 111 done
[ 1680.59] Level 112 done
[ 1700.13] Level 113 done
[ 1718.97] Level 114 done
[ 1737.09] Level 115 done
[ 1754.48] Level 116 done
[ 1771.18] Level 117 done
[ 1787.12] Level 118 done
[ 1802.29] Level 119 done
[ 1816.87] Level 120 done
[ 1830.79] Level 121 done
[ 1844.01] Level 122 done
[ 1856.57] Level 123 done
[ 1868.61] Level 124 done
[ 1880.06] Level 125 done
[ 1890.92] Level 126 done
[ 1901.20] Level 127 done
[ 1911.02] Level 128 done
[ 1920.31] Level 129 done
[ 1929.07] Level 130 done
[ 1937.34] Level 131 done
[ 1945.18] Level 132 done
[ 1952.58] Level 133 done
[ 1959.49] Level 134 done
[ 1965.96] Level 135 done
[ 1972.07] Level 136 done
[ 1977.76] Level 137 done
[ 1983.03] Level 138 done
[ 1987.94] Level 139 done
[ 1992.50] (GC) Starting garbage collection...
[ 1992.94] (GC) Garbage collection done.
[ 1993.46] Level 140 done
[ 2006.50] Level 141 done
[ 2012.19] Level 142 done
[ 2017.13] Level 143 done
[ 2021.03] Level 144 done
[ 2023.65] Level 145 done
[ 2025.98] Level 146 done
[ 2028.06] Level 147 done
[ 2029.94] Level 148 done
[ 2031.60] Level 149 done
[ 2033.05] Level 150 done
[ 2034.32] Level 151 done
[ 2035.43] Level 152 done
[ 2036.39] Level 153 done
[ 2037.20] Level 154 done
[ 2037.89] Level 155 done
[ 2038.47] Level 156 done
[ 2038.95] Level 157 done
[ 2039.33] Level 158 done
[ 2039.64] Level 159 done
[ 2039.88] Level 160 done
[ 2040.07] Level 161 done
[ 2040.21] Level 162 done
[ 2040.31] Level 163 done
[ 2040.37] Level 164 done
[ 2040.41] Level 165 done
[ 2040.44] Level 166 done
[ 2040.46] Level 167 done
[ 2040.47] Level 168 done
[ 2040.48] Level 169 done
[ 2040.49] Level 170 done
[ 2040.49] BFS Time: 2039.594354
[ 2040.57] Final states: 9,783,606 states
