[    0.89] Read file '/home/oortwijn/distdd/models/petrinets/BridgeAndVehicles-V20-P20-N20-unfolded.bdd'
[    0.89] 78 integers per state, 5 bits per integer, 968 transition groups
[    0.91] Level 1 done
[    0.94] Level 2 done
[    0.98] Level 3 done
[    1.04] Level 4 done
[    1.14] Level 5 done
[    1.26] Level 6 done
[    1.40] Level 7 done
[    1.60] Level 8 done
[    1.85] Level 9 done
[    2.15] Level 10 done
[    2.51] Level 11 done
[    2.94] Level 12 done
[    3.47] Level 13 done
[    4.08] Level 14 done
[    4.79] Level 15 done
[    5.61] Level 16 done
[    6.56] Level 17 done
[    7.65] Level 18 done
[    8.89] Level 19 done
[   10.29] Level 20 done
[   11.88] Level 21 done
[   13.65] Level 22 done
[   15.64] Level 23 done
[   17.84] Level 24 done
[   20.28] Level 25 done
[   22.96] Level 26 done
[   25.89] Level 27 done
[   29.08] Level 28 done
[   32.55] Level 29 done
[   36.29] Level 30 done
[   40.32] Level 31 done
[   44.65] Level 32 done
[   49.28] Level 33 done
[   54.23] Level 34 done
[   59.52] Level 35 done
[   65.16] Level 36 done
[   71.16] Level 37 done
[   77.53] Level 38 done
[   84.29] Level 39 done
[   91.45] Level 40 done
[   99.02] Level 41 done
[  107.00] Level 42 done
[  115.41] Level 43 done
[  124.27] Level 44 done
[  133.58] Level 45 done
[  143.35] Level 46 done
[  153.58] Level 47 done
[  164.33] Level 48 done
[  175.54] Level 49 done
[  187.22] Level 50 done
[  199.44] Level 51 done
[  212.18] Level 52 done
[  225.47] Level 53 done
[  239.28] Level 54 done
[  253.64] Level 55 done
[  268.63] Level 56 done
[  284.19] Level 57 done
[  300.34] Level 58 done
[  317.09] Level 59 done
[  334.48] Level 60 done
[  352.52] Level 61 done
[  371.18] Level 62 done
[  390.48] Level 63 done
[  410.47] Level 64 done
[  431.07] Level 65 done
[  452.23] Level 66 done
[  474.04] Level 67 done
[  496.43] Level 68 done
[  519.44] Level 69 done
[  542.99] Level 70 done
[  567.08] Level 71 done
[  591.75] Level 72 done
[  616.89] Level 73 done
[  642.60] Level 74 done
[  668.66] Level 75 done
[  695.12] Level 76 done
[  722.12] Level 77 done
[  749.44] Level 78 done
[  777.07] Level 79 done
[  805.05] Level 80 done
[  833.26] Level 81 done
[  861.85] Level 82 done
[  863.99] (GC) Starting garbage collection...
[  864.58] (GC) Garbage collection done.
[  921.92] Level 83 done
[  949.75] Level 84 done
[  975.21] Level 85 done
[ 1003.75] Level 86 done
[ 1032.65] Level 87 done
[ 1060.86] Level 88 done
[ 1088.99] Level 89 done
[ 1117.18] Level 90 done
[ 1145.32] Level 91 done
[ 1173.34] Level 92 done
[ 1201.42] Level 93 done
[ 1229.30] Level 94 done
[ 1256.87] Level 95 done
[ 1284.29] Level 96 done
[ 1311.50] Level 97 done
[ 1338.43] Level 98 done
[ 1365.02] Level 99 done
[ 1391.36] Level 100 done
[ 1417.38] Level 101 done
[ 1443.01] Level 102 done
[ 1468.19] Level 103 done
[ 1492.96] Level 104 done
[ 1517.27] Level 105 done
[ 1541.09] Level 106 done
[ 1564.32] Level 107 done
[ 1587.04] Level 108 done
[ 1609.19] Level 109 done
[ 1630.63] Level 110 done
[ 1651.48] Level 111 done
[ 1671.67] Level 112 done
[ 1691.10] Level 113 done
[ 1709.85] Level 114 done
[ 1727.88] Level 115 done
[ 1745.18] Level 116 done
[ 1761.80] Level 117 done
[ 1777.66] Level 118 done
[ 1792.75] Level 119 done
[ 1807.26] Level 120 done
[ 1821.09] Level 121 done
[ 1834.24] Level 122 done
[ 1846.75] Level 123 done
[ 1858.72] Level 124 done
[ 1870.10] Level 125 done
[ 1880.92] Level 126 done
[ 1891.15] Level 127 done
[ 1900.90] Level 128 done
[ 1910.13] Level 129 done
[ 1918.85] Level 130 done
[ 1927.07] Level 131 done
[ 1934.88] Level 132 done
[ 1942.24] Level 133 done
[ 1949.11] Level 134 done
[ 1955.54] Level 135 done
[ 1961.63] Level 136 done
[ 1967.29] Level 137 done
[ 1972.54] Level 138 done
[ 1977.39] Level 139 done
[ 1981.93] (GC) Starting garbage collection...
[ 1982.37] (GC) Garbage collection done.
[ 1982.89] Level 140 done
[ 1995.88] Level 141 done
[ 2001.54] Level 142 done
[ 2006.45] Level 143 done
[ 2010.33] Level 144 done
[ 2012.93] Level 145 done
[ 2015.24] Level 146 done
[ 2017.31] Level 147 done
[ 2019.18] Level 148 done
[ 2020.83] Level 149 done
[ 2022.27] Level 150 done
[ 2023.54] Level 151 done
[ 2024.65] Level 152 done
[ 2025.60] Level 153 done
[ 2026.41] Level 154 done
[ 2027.09] Level 155 done
[ 2027.66] Level 156 done
[ 2028.14] Level 157 done
[ 2028.52] Level 158 done
[ 2028.83] Level 159 done
[ 2029.07] Level 160 done
[ 2029.25] Level 161 done
[ 2029.39] Level 162 done
[ 2029.49] Level 163 done
[ 2029.55] Level 164 done
[ 2029.60] Level 165 done
[ 2029.63] Level 166 done
[ 2029.64] Level 167 done
[ 2029.65] Level 168 done
[ 2029.67] Level 169 done
[ 2029.67] Level 170 done
[ 2029.67] BFS Time: 2028.776355
[ 2029.75] Final states: 9,783,606 states
